id,Name,Shop,Life,Quantity,Cal
698,Абрикос,Макс-маркет,53,14,1876
699,Фасоль,Больше-меньше,146,29,586
700,Мука,Магнит,8,50,544
701,Кефир,Пятерочка,70,5,410
702,Мука,Магнит,116,48,1148
703,Сахар,Перекресток,144,5,1798
704,Морковь,Лента,115,46,213
705,Молоко,Лента,57,19,1092
706,Персик,Магнит,147,6,230
707,Абрикос,Лента,9,24,386
708,Соль,Больше-меньше,165,2,483
709,Гречка,Пятерочка,139,39,283
710,Баклажан,Больше-меньше,40,4,435
711,Яйца,Больше-меньше,28,45,522
712,Милкис,Макс-маркет,10,3,1527
713,Соль,Больше-меньше,154,2,430
714,Перец,Больше-меньше,150,29,842
715,Мед,Пятерочка,34,39,1498
716,Молоко,Перекресток,85,17,1175
717,Сырокопчености,Больше-меньше,163,25,735
718,Капуста,Магнит,129,7,747
719,Баклажан,Макс-маркет,180,43,235
720,Сырокопчености,Перекресток,85,39,1589
721,Чай,Макс-маркет,111,30,1855
722,Капуста,Лента,74,48,1775
723,Мороженое,Больше-меньше,105,18,1162
724,Рис,Магнит,55,20,584
725,Лимон,Перекресток,110,12,1933
726,Мороженое,Магнит,153,20,1263
727,Гречка,Больше-меньше,86,19,819
728,Картошка,Лента,104,31,296
729,Гречка,Больше-меньше,118,47,1288
730,Кефир,Больше-меньше,46,49,1983
731,Зеленый горошек,Лента,116,39,947
732,Белокочанная капуста,Пятерочка,148,22,1888
733,Свекла,Макс-маркет,158,39,1995
734,Колбаса,Больше-меньше,83,50,1495
735,Картошка,Лента,90,27,1109
736,Яйца,Магнит,7,18,1034
737,Гречка,Пятерочка,165,30,496
738,Перец сладкий,Перекресток,95,6,1109
739,Соль,Пятерочка,42,20,1583
740,Сметана,Перекресток,54,8,1663
741,Сахар,Магнит,76,39,1107
742,Перец,Перекресток,51,6,844
743,Чеснок,Больше-меньше,60,16,660
744,Редис,Перекресток,83,6,800
745,Сливки,Пятерочка,95,14,1830
746,Кефир,Пятерочка,111,9,797
747,Чеснок,Магнит,161,8,925
748,Редис,Макс-маркет,120,22,281
749,Картошка,Лента,11,23,1812
750,Милкис,Магнит,158,8,388
751,Сосиски,Перекресток,154,20,333
752,Бекон,Перекресток,158,39,1680
753,Милкис,Перекресток,72,40,1066
754,Яблоко,Пятерочка,126,28,1639
755,Милкис,Магнит,126,33,530
756,Капуста,Магнит,55,31,1468
757,Смородина,Лента,142,36,1140
758,Груша,Пятерочка,60,44,1157
759,Баклажан,Больше-меньше,153,17,1440
760,Огурцы,Магнит,136,4,1745
761,Мороженое,Макс-маркет,105,43,1294
762,Редька,Пятерочка,11,13,1445
763,Мясо,Больше-меньше,127,18,1107
764,Мясо,Лента,115,3,1766
765,Помидоры,Макс-маркет,171,38,1534
766,Лук,Магнит,142,21,1250
767,Зеленый горошек,Магнит,154,14,463
768,Хлеб,Пятерочка,150,43,273
769,Картофель,Лента,55,35,1973
770,Сметана,Лента,38,37,1875
771,Слива,Больше-меньше,92,50,1268
772,Чеснок,Перекресток,82,45,751
773,Сливки,Лента,137,10,239
774,Ветчина,Магнит,1,44,1853
775,Клубника,Перекресток,155,30,1938
776,Фасоль,Больше-меньше,20,50,1510
777,Смородина,Пятерочка,94,3,381
778,Картофель,Перекресток,170,41,1762
779,Сахар,Магнит,73,13,1634
780,Мед,Магнит,76,33,1847
781,Йогурт,Пятерочка,79,50,366
782,Гречка,Лента,15,17,1174
783,Бекон,Магнит,72,24,601
784,Абрикос,Макс-маркет,117,23,554
785,Редька,Больше-меньше,44,28,1312
786,Рис,Макс-маркет,115,17,1500
787,Чай,Пятерочка,26,10,867
788,Вишня,Макс-маркет,82,32,1186
789,Сахар,Больше-меньше,118,37,1292
790,Персик,Больше-меньше,23,9,1150
791,Помидоры,Перекресток,9,36,301
792,Перец,Больше-меньше,98,26,1132
793,Масло,Макс-маркет,34,18,279
794,Рис,Макс-маркет,170,28,1887
795,Укроп,Макс-маркет,157,43,547
796,Сосиски,Лента,90,37,1071
797,Вишня,Лента,23,1,420
798,Морковь,Перекресток,55,19,1054
799,Хлеб,Больше-меньше,2,33,600
800,Фасоль,Макс-маркет,164,39,1461
801,Огурцы,Лента,104,28,1095
802,Персик,Пятерочка,162,27,1621
803,Яблоко,Пятерочка,24,39,563
804,Гречка,Лента,55,49,317
805,Белокочанная капуста,Перекресток,14,3,836
806,Чеснок,Пятерочка,84,48,1906
807,Картошка,Лента,121,12,1575
808,Сахар,Пятерочка,32,30,1921
809,Ветчина,Макс-маркет,134,44,1828
810,Колбаса,Пятерочка,91,34,1226
811,Мороженое,Больше-меньше,71,42,279
812,Петрушка,Магнит,57,1,1617
813,Морковь,Пятерочка,158,27,662
814,Перец,Перекресток,42,34,1854
815,Абрикос,Перекресток,61,24,1369
816,Мука,Макс-маркет,94,24,965
817,Петрушка,Макс-маркет,176,28,1787
818,Зеленый горошек,Магнит,109,26,691
819,Редис,Пятерочка,143,19,1682
820,Редька,Больше-меньше,10,2,1928
821,Свекла,Пятерочка,67,26,1940
822,Чеснок,Лента,104,24,1313
823,Редька,Перекресток,108,22,1340
824,Масло,Магнит,139,38,1147
825,Груша,Перекресток,13,33,334
826,Чеснок,Лента,66,27,717
827,Сырокопчености,Пятерочка,127,42,1189
828,Капуста,Макс-маркет,116,5,1714
829,Чай,Макс-маркет,88,38,1345
830,Баклажан,Макс-маркет,98,4,250
831,Яйца,Перекресток,11,26,985
832,Абрикос,Макс-маркет,79,20,1058
833,Колбаса,Макс-маркет,30,14,638
834,Чай,Магнит,7,1,214
835,Сырокопчености,Лента,62,10,1252
836,Помидоры,Лента,107,21,1406
837,Лук,Лента,44,43,1777
838,Мука,Пятерочка,73,13,1035
839,Апельсин,Пятерочка,49,23,562
840,Сникерс,Макс-маркет,41,41,447
841,Фасоль,Магнит,112,34,1116
842,Кофе,Макс-маркет,17,12,1782
843,Лук,Перекресток,32,27,672
844,Зеленый горошек,Пятерочка,122,44,992
845,Сырокопчености,Больше-меньше,144,18,404
846,Томаты,Лента,15,45,1414
847,Чай,Магнит,126,41,392
848,Кофе,Пятерочка,68,38,996
849,Чеснок,Макс-маркет,53,3,1826
850,Редис,Перекресток,65,5,1521
851,Мука,Лента,101,26,1970
852,Молоко,Перекресток,138,25,357
853,Абрикос,Магнит,86,3,1184
854,Картофель,Пятерочка,51,30,1077
855,Мед,Лента,111,36,558
856,Кофе,Макс-маркет,173,27,1173
857,Мясо,Макс-маркет,96,25,996
858,Зеленый горошек,Перекресток,176,46,363
859,Кефир,Макс-маркет,2,39,1562
860,Лимон,Перекресток,123,5,1201
861,Лимон,Магнит,60,48,1172
862,Смородина,Лента,74,34,830
863,Сникерс,Макс-маркет,178,10,343
864,Мука,Перекресток,92,29,334
865,Смородина,Магнит,164,32,747
866,Редька,Пятерочка,155,12,454
867,Йогурт,Пятерочка,169,25,381
868,Клубника,Перекресток,177,15,274
869,Клубника,Макс-маркет,16,13,1880
870,Чеснок,Макс-маркет,77,50,1729
871,Творог,Макс-маркет,139,28,1382
872,Абрикос,Макс-маркет,32,37,919
873,Хлеб,Макс-маркет,119,24,587
874,Сахар,Пятерочка,143,46,1610
875,Масло,Лента,15,34,492
876,Яйца,Пятерочка,173,20,574
877,Картофель,Макс-маркет,157,39,1233
878,Мороженое,Лента,149,22,1545
879,Картофель,Перекресток,18,26,1250
880,Сметана,Макс-маркет,39,40,337
881,Петрушка,Больше-меньше,113,27,1940
882,Укроп,Магнит,42,7,453
883,Сливки,Макс-маркет,143,12,1439
884,Редька,Лента,85,1,1074
885,Фасоль,Перекресток,172,50,251
886,Клубника,Перекресток,112,12,323
887,Сникерс,Магнит,98,7,788
888,Чай,Больше-меньше,121,11,518
889,Хлеб,Пятерочка,44,46,1738
890,Сосиски,Макс-маркет,32,3,822
891,Лимон,Больше-меньше,79,46,1633
892,Петрушка,Магнит,132,37,402
893,Рис,Перекресток,13,23,229
894,Апельсин,Пятерочка,15,17,1444
895,Вишня,Макс-маркет,41,9,1279
896,Творог,Больше-меньше,180,11,1318
897,Слива,Больше-меньше,76,2,996
898,Сникерс,Макс-маркет,63,44,937
899,Мед,Пятерочка,63,45,415
900,Редис,Перекресток,154,26,1731
901,Баклажан,Магнит,164,9,745
902,Огурец,Перекресток,173,31,1432
903,Масло,Больше-меньше,14,47,916
904,Слива,Лента,129,20,805
905,Груша,Пятерочка,21,43,1002
906,Рис,Лента,37,25,351
907,Сливки,Лента,124,30,1427
908,Морковь,Пятерочка,53,21,1827
909,Апельсин,Больше-меньше,109,4,1597
910,Сникерс,Пятерочка,61,35,997
911,Лимон,Макс-маркет,43,28,1737
912,Помидоры,Перекресток,175,45,843
913,Персик,Больше-меньше,121,49,287
914,Персик,Макс-маркет,169,38,799
915,Слива,Перекресток,138,42,1791
916,Огурцы,Лента,85,45,719
917,Огурцы,Пятерочка,64,46,1061
918,Персик,Пятерочка,16,39,675
919,Свекла,Перекресток,64,16,1115
920,Гречка,Лента,143,10,1744
921,Лук,Пятерочка,63,36,1073
922,Хлеб,Макс-маркет,29,41,1511
923,Яблоко,Пятерочка,108,9,1116
924,Картофель,Перекресток,31,5,1697
925,Сырокопчености,Макс-маркет,164,41,1373
926,Вишня,Больше-меньше,140,15,1881
927,Белокочанная капуста,Перекресток,145,38,371
928,Лимон,Лента,137,20,1140
929,Кефир,Пятерочка,172,45,537
930,Груша,Макс-маркет,49,21,235
931,Сахар,Пятерочка,128,27,674
932,Сырокопчености,Лента,22,21,1138
933,Фасоль,Лента,35,44,809
934,Творог,Макс-маркет,23,18,1909
935,Свекла,Лента,176,24,517
936,Рис,Перекресток,153,11,1718
937,Сникерс,Перекресток,112,15,906
938,Капуста,Перекресток,66,12,268
939,Молоко,Перекресток,64,25,1640
940,Баклажан,Макс-маркет,38,27,1044
941,Огурцы,Больше-меньше,125,11,1667
942,Творог,Больше-меньше,10,5,818
943,Укроп,Перекресток,20,32,496
944,Сникерс,Пятерочка,46,49,261
945,Мясо,Магнит,171,35,723
946,Сосиски,Макс-маркет,112,49,1010
947,Мед,Пятерочка,106,36,390
948,Йогурт,Магнит,57,30,871
949,Колбаса,Больше-меньше,81,40,298
950,Мясо,Перекресток,68,47,1447
951,Груша,Лента,103,6,793
952,Мед,Больше-меньше,101,41,1818
953,Мед,Магнит,51,5,818
954,Яблоко,Больше-меньше,6,11,678
955,Йогурт,Больше-меньше,55,18,313
956,Бекон,Больше-меньше,171,36,1631
957,Томаты,Магнит,10,30,279
958,Редис,Макс-маркет,99,35,813
959,Мороженое,Пятерочка,58,2,1447
960,Гречка,Пятерочка,124,27,1054
961,Мед,Магнит,27,18,1658
962,Кофе,Магнит,16,25,682
963,Картошка,Больше-меньше,177,14,783
964,Кефир,Перекресток,120,47,1180
965,Сырокопчености,Перекресток,90,2,1081
966,Хлеб,Пятерочка,46,47,756
967,Кефир,Больше-меньше,154,40,1038
968,Сырокопчености,Перекресток,129,6,1236
969,Слива,Больше-меньше,67,27,809
970,Милкис,Макс-маркет,18,43,397
971,Сникерс,Макс-маркет,22,45,1598
972,Мука,Лента,17,38,1130
973,Огурцы,Магнит,70,26,1117
974,Огурцы,Лента,87,19,461
975,Картошка,Макс-маркет,148,43,1071
976,Томаты,Пятерочка,140,23,1800
977,Гречка,Пятерочка,124,1,1884
978,Мясо,Пятерочка,2,36,1577
979,Сметана,Макс-маркет,170,8,674
980,Томаты,Больше-меньше,154,35,1541
981,Картошка,Пятерочка,149,47,335
982,Кефир,Пятерочка,55,13,336
983,Ветчина,Больше-меньше,66,41,502
984,Зеленый горошек,Макс-маркет,7,13,654
985,Белокочанная капуста,Больше-меньше,27,5,1056
986,Йогурт,Лента,93,17,299
987,Гречка,Лента,49,30,1628
988,Рис,Лента,147,22,1046
989,Чай,Перекресток,96,7,600
990,Рис,Магнит,38,48,1670
991,Милкис,Магнит,97,24,1843
992,Помидоры,Магнит,82,9,705
993,Редис,Лента,67,3,560
994,Слива,Больше-меньше,61,45,880
995,Баклажан,Перекресток,180,27,1320
996,Редька,Макс-маркет,56,22,1292
997,Помидоры,Магнит,110,23,1855
998,Огурец,Лента,68,3,755
999,Огурец,Магнит,106,20,317
1000,Лук,Лента,19,48,886
